                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.77403,                0.35021,                0.94892,                0.98611,                0.96104,                0.97058,                0.68347,                 1.1736,                0.44611,                 1.1048,             6.2254e-05,             6.2254e-05,             6.2254e-05
                    139,                0.77169,                0.34831,                0.94765,                0.98666,                0.96056,                0.97069,                0.68222,                 1.1691,                0.44298,                  1.103,             5.6469e-05,             5.6469e-05,             5.6469e-05
                    140,                0.76781,                0.34835,                0.94636,                0.98665,                0.95977,                0.97126,                0.68556,                  1.166,                0.44153,                 1.1016,             5.1103e-05,             5.1103e-05,             5.1103e-05
                    141,                0.77046,                0.33158,                0.94061,                0.97285,                0.93077,                0.95362,                0.67614,                 1.1454,                 0.4576,                 1.0927,             4.6157e-05,             4.6157e-05,             4.6157e-05
                    142,                0.74724,                0.30843,                0.92795,                0.97116,                0.92208,                0.95838,                0.67256,                 1.1505,                 0.4612,                 1.0951,             4.1634e-05,             4.1634e-05,             4.1634e-05
                    143,                0.73838,                0.30382,                0.92326,                0.98432,                0.93506,                0.97185,                0.66942,                 1.1557,                0.44492,                 1.0946,             3.7536e-05,             3.7536e-05,             3.7536e-05
                    144,                0.73355,                0.30129,                0.91747,                0.97291,                0.93297,                0.96101,                0.66316,                 1.1591,                0.44435,                  1.098,             3.3864e-05,             3.3864e-05,             3.3864e-05
                    145,                0.73474,                0.30159,                0.92137,                0.97291,                0.93285,                0.96207,                0.66547,                 1.1602,                0.44311,                 1.0995,              3.062e-05,              3.062e-05,              3.062e-05
                    146,                0.73345,                 0.3003,                0.92091,                0.97288,                0.93186,                  0.965,                0.67128,                 1.1636,                0.44487,                 1.1025,             2.7806e-05,             2.7806e-05,             2.7806e-05
                    147,                0.72784,                0.29959,                0.92106,                0.97287,                0.93138,                0.96178,                0.67302,                 1.1613,                0.44425,                 1.1031,             2.5423e-05,             2.5423e-05,             2.5423e-05
                    148,                0.73185,                 0.2995,                0.91818,                0.96988,                0.93506,                0.96205,                0.67541,                 1.1626,                0.44123,                  1.103,             2.3472e-05,             2.3472e-05,             2.3472e-05
